a,b,bucket,subcluster
LIN,APD,commodities,chemicals
LIN,ECL,commodities,chemicals
APD,ECL,commodities,chemicals
CF,MOS,commodities,fertilizers
FCX,NEM,commodities,miners
FCX,GOLD,commodities,miners
FCX,RIO,commodities,miners
FCX,BHP,commodities,miners
FCX,VALE,commodities,miners
NEM,GOLD,commodities,miners
NEM,RIO,commodities,miners
NEM,BHP,commodities,miners
NEM,VALE,commodities,miners
GOLD,RIO,commodities,miners
GOLD,BHP,commodities,miners
GOLD,VALE,commodities,miners
RIO,BHP,commodities,miners
RIO,VALE,commodities,miners
BHP,VALE,commodities,miners
NUE,STLD,commodities,steel
COP,EOG,energy,e&p
COP,OXY,energy,e&p
COP,DVN,energy,e&p
COP,FANG,energy,e&p
COP,APA,energy,e&p
EOG,OXY,energy,e&p
EOG,DVN,energy,e&p
EOG,FANG,energy,e&p
EOG,APA,energy,e&p
OXY,DVN,energy,e&p
OXY,FANG,energy,e&p
OXY,APA,energy,e&p
DVN,FANG,energy,e&p
DVN,APA,energy,e&p
FANG,APA,energy,e&p
XOM,CVX,energy,integrated
KMI,WMB,energy,midstream
SLB,HAL,energy,services
JPM,BAC,financials,banks
JPM,WFC,financials,banks
JPM,C,financials,banks
JPM,GS,financials,banks
JPM,MS,financials,banks
JPM,USB,financials,banks
JPM,PNC,financials,banks
JPM,TFC,financials,banks
BAC,WFC,financials,banks
BAC,C,financials,banks
BAC,GS,financials,banks
BAC,MS,financials,banks
BAC,USB,financials,banks
BAC,PNC,financials,banks
BAC,TFC,financials,banks
WFC,C,financials,banks
WFC,GS,financials,banks
WFC,MS,financials,banks
WFC,USB,financials,banks
WFC,PNC,financials,banks
WFC,TFC,financials,banks
C,GS,financials,banks
C,MS,financials,banks
C,USB,financials,banks
C,PNC,financials,banks
C,TFC,financials,banks
GS,MS,financials,banks
GS,USB,financials,banks
GS,PNC,financials,banks
GS,TFC,financials,banks
MS,USB,financials,banks
MS,PNC,financials,banks
MS,TFC,financials,banks
USB,PNC,financials,banks
USB,TFC,financials,banks
PNC,TFC,financials,banks
V,MA,financials,payments
V,AXP,financials,payments
V,PYPL,financials,payments
MA,AXP,financials,payments
MA,PYPL,financials,payments
AXP,PYPL,financials,payments
AAPL,MSFT,tech,mega
AAPL,GOOGL,tech,mega
AAPL,AMZN,tech,mega
AAPL,META,tech,mega
MSFT,GOOGL,tech,mega
MSFT,AMZN,tech,mega
MSFT,META,tech,mega
GOOGL,AMZN,tech,mega
GOOGL,META,tech,mega
AMZN,META,tech,mega
NVDA,AMD,tech,semis
NVDA,INTC,tech,semis
NVDA,QCOM,tech,semis
NVDA,AVGO,tech,semis
NVDA,TXN,tech,semis
NVDA,MU,tech,semis
AMD,INTC,tech,semis
AMD,QCOM,tech,semis
AMD,AVGO,tech,semis
AMD,TXN,tech,semis
AMD,MU,tech,semis
INTC,QCOM,tech,semis
INTC,AVGO,tech,semis
INTC,TXN,tech,semis
INTC,MU,tech,semis
QCOM,AVGO,tech,semis
QCOM,TXN,tech,semis
QCOM,MU,tech,semis
AVGO,TXN,tech,semis
AVGO,MU,tech,semis
TXN,MU,tech,semis
ORCL,CRM,tech,software
ORCL,NOW,tech,software
ORCL,ADBE,tech,software
CRM,NOW,tech,software
CRM,ADBE,tech,software
NOW,ADBE,tech,software
