a,b,corr,bucket,subcluster
MA,V,0.8988602407586399,financials,payments
BHP,RIO,0.8981047489936397,commodities,miners
BAC,JPM,0.8834374666803901,financials,banks
PNC,TFC,0.8690938074809387,financials,banks
GS,MS,0.8682053562341883,financials,banks
BAC,C,0.8680248297372573,financials,banks
TFC,USB,0.8668892116413603,financials,banks
NUE,STLD,0.8668485395240576,commodities,steel
HAL,SLB,0.8617627396452171,energy,services
PNC,USB,0.8580950313932397,financials,banks
C,JPM,0.8526305761944127,financials,banks
BAC,PNC,0.8488116209589902,financials,banks
COP,EOG,0.8432588452308417,energy,e&p
BAC,WFC,0.8351843162113508,financials,banks
BAC,MS,0.831987107266541,financials,banks
CVX,XOM,0.8309895612878839,energy,integrated
DVN,EOG,0.8272347451888261,energy,e&p
JPM,PNC,0.8247327906587835,financials,banks
DVN,FANG,0.8237118425346897,energy,e&p
BAC,TFC,0.8223304648830249,financials,banks
GS,JPM,0.8201297098446069,financials,banks
JPM,MS,0.8193500884009686,financials,banks
COP,DVN,0.8188127834864228,energy,e&p
C,MS,0.8187571318393546,financials,banks
EOG,FANG,0.8181679768463508,energy,e&p
C,GS,0.8168679423531876,financials,banks
BAC,USB,0.81602512336967,financials,banks
BAC,GS,0.8142007971156137,financials,banks
JPM,WFC,0.8040068581862302,financials,banks
C,PNC,0.7998555039668928,financials,banks
APA,DVN,0.7961147948321476,energy,e&p
C,WFC,0.7960788416059229,financials,banks
USB,WFC,0.7943489882785719,financials,banks
PNC,WFC,0.7938796653227161,financials,banks
APA,OXY,0.7889076179538864,energy,e&p
JPM,USB,0.785984515071109,financials,banks
FANG,OXY,0.784607659838619,energy,e&p
C,USB,0.7833784938923445,financials,banks
COP,FANG,0.7824770256519086,energy,e&p
APA,EOG,0.7787093834203128,energy,e&p
APA,FANG,0.7747141959891841,energy,e&p
EOG,OXY,0.7693946989075211,energy,e&p
RIO,VALE,0.7657381928008746,commodities,miners
DVN,OXY,0.7649345160485961,energy,e&p
APA,COP,0.7537901177139861,energy,e&p
BHP,VALE,0.7437168526275417,commodities,miners
COP,OXY,0.7420424107956931,energy,e&p
CF,MOS,0.7111242051625715,commodities,fertilizers
BHP,FCX,0.7068424357945651,commodities,miners
KMI,WMB,0.7026217575358948,energy,midstream
FCX,RIO,0.700140225809567,commodities,miners
CRM,NOW,0.6962785603477115,tech,software
GOOGL,MSFT,0.6926070954423762,tech,mega
ADBE,CRM,0.6727933266972458,tech,software
APD,LIN,0.6648361089731942,commodities,chemicals
AAPL,MSFT,0.6638165047257735,tech,mega
ADBE,NOW,0.6597647798030054,tech,software
AMZN,MSFT,0.6587021518062024,tech,mega
AXP,MA,0.6475696146704863,financials,payments
AXP,V,0.64595141750187,financials,payments
AMZN,GOOGL,0.6375814770419898,tech,mega
FCX,VALE,0.6358004698404879,commodities,miners
QCOM,TXN,0.6281442841166596,tech,semis
ECL,LIN,0.6177570142581059,commodities,chemicals
AMD,NVDA,0.6149578691686372,tech,semis
AVGO,NVDA,0.6132018488450788,tech,semis
AAPL,GOOGL,0.6087195949253489,tech,mega
MU,TXN,0.6064323685460925,tech,semis
GOOGL,META,0.6057719557890263,tech,mega
AMZN,META,0.6021274181099386,tech,mega
AVGO,MU,0.6000151607680424,tech,semis
AVGO,QCOM,0.586508459200563,tech,semis
AVGO,TXN,0.582972335879386,tech,semis
MU,NVDA,0.582914835556288,tech,semis
META,MSFT,0.5792327881197751,tech,mega
AAPL,AMZN,0.5713673830173137,tech,mega
INTC,TXN,0.5700304591602374,tech,semis
NVDA,TXN,0.5656640548156,tech,semis
APD,ECL,0.5614399464241505,commodities,chemicals
NVDA,QCOM,0.5609439868913809,tech,semis
MU,QCOM,0.5523580849672413,tech,semis
MA,PYPL,0.5418341621523227,financials,payments
PYPL,V,0.533612519114057,financials,payments
AAPL,META,0.514488476260648,tech,mega
INTC,MU,0.5119603575592278,tech,semis
AMD,MU,0.5061216681842688,tech,semis
AMD,TXN,0.5022845309402675,tech,semis
