,BAC,C,GS,JPM,MS,PNC,TFC,USB,WFC
BAC,,0.7893220732066895,0.7144186872611967,0.5370177175890666,0.6802169731029297,0.19440481275241378,0.10534896330506305,0.7124383171241888,0.8545767923003382
C,0.7893220732066895,,0.4198477215268238,0.2606515322383248,0.37532543949441277,0.3820031771589609,,0.34870792098627273,0.26330791302145107
GS,0.7144186872611967,0.4198477215268238,,0.7499484262564804,0.22927419993965337,,,,
JPM,0.5370177175890666,0.2606515322383248,0.7499484262564804,,0.9049152595778712,0.5671736973878064,,0.7235266996763444,0.7446611609589484
MS,0.6802169731029297,0.37532543949441277,0.22927419993965337,0.9049152595778712,,,,,
PNC,0.19440481275241378,0.3820031771589609,,0.5671736973878064,,,0.013016424559414878,0.7570779904643179,0.8852997167051029
TFC,0.10534896330506305,,,,,0.013016424559414878,,0.5479335593552457,
USB,0.7124383171241888,0.34870792098627273,,0.7235266996763444,,0.7570779904643179,0.5479335593552457,,0.5057470613307763
WFC,0.8545767923003382,0.26330791302145107,,0.7446611609589484,,0.8852997167051029,,0.5057470613307763,
