ticker,XOM,CVX,COP,EOG,OXY,DVN,FANG,APA,SLB,HAL,KMI,WMB
XOM,1.0,0.8309895612878839,0.7945365954562927,0.7689986094975788,0.7152705301503672,0.7261455187724613,0.7082954057532536,0.6680722148170996,0.7669449493169006,0.7635204819413572,0.6305826794551905,0.48573586081334585
CVX,0.8309895612878839,1.0,0.8097522975922892,0.7355005875875122,0.6852710556447319,0.7203534734093615,0.7051213789471091,0.6661834769671292,0.7552865706788657,0.7585809595467414,0.691494238916828,0.5341382796752084
COP,0.7945365954562927,0.8097522975922892,1.0,0.8432588452308417,0.7420424107956931,0.8188127834864228,0.7824770256519086,0.7537901177139861,0.7735126454886999,0.7920100478441217,0.6700681208517681,0.5289105771435814
EOG,0.7689986094975788,0.7355005875875122,0.8432588452308417,1.0,0.7693946989075211,0.8272347451888261,0.8181679768463508,0.7787093834203128,0.7663116560110376,0.7829631061596887,0.6214580253812058,0.49860817156668014
OXY,0.7152705301503672,0.6852710556447319,0.7420424107956931,0.7693946989075211,1.0,0.7649345160485961,0.784607659838619,0.7889076179538864,0.7081495397872516,0.7423521248765236,0.5649861531998668,0.44654022922713155
DVN,0.7261455187724613,0.7203534734093615,0.8188127834864228,0.8272347451888261,0.7649345160485961,1.0,0.8237118425346897,0.7961147948321476,0.756535802705204,0.7834304600472657,0.637541372292154,0.5487152711931541
FANG,0.7082954057532536,0.7051213789471091,0.7824770256519086,0.8181679768463508,0.784607659838619,0.8237118425346897,1.0,0.7747141959891841,0.7438788755594343,0.7864069065482108,0.5958785671918274,0.4777675584192166
APA,0.6680722148170996,0.6661834769671292,0.7537901177139861,0.7787093834203128,0.7889076179538864,0.7961147948321476,0.7747141959891841,1.0,0.7205626417320581,0.7457097030507411,0.5809517992285601,0.47414246428312884
SLB,0.7669449493169006,0.7552865706788657,0.7735126454886999,0.7663116560110376,0.7081495397872516,0.756535802705204,0.7438788755594343,0.7205626417320581,1.0,0.8617627396452171,0.6181470574680077,0.49570442776625157
HAL,0.7635204819413572,0.7585809595467414,0.7920100478441217,0.7829631061596887,0.7423521248765236,0.7834304600472657,0.7864069065482108,0.7457097030507411,0.8617627396452171,1.0,0.6380625374220066,0.517807297622215
KMI,0.6305826794551905,0.691494238916828,0.6700681208517681,0.6214580253812058,0.5649861531998668,0.637541372292154,0.5958785671918274,0.5809517992285601,0.6181470574680077,0.6380625374220066,1.0,0.7026217575358948
WMB,0.48573586081334585,0.5341382796752084,0.5289105771435814,0.49860817156668014,0.44654022922713155,0.5487152711931541,0.4777675584192166,0.47414246428312884,0.49570442776625157,0.517807297622215,0.7026217575358948,1.0
