ticker,AAPL,MSFT,GOOGL,AMZN,META,NVDA,AMD,INTC,QCOM,AVGO,TXN,MU,ORCL,CRM,NOW,ADBE
AAPL,1.0,0.6638165047257735,0.6087195949253489,0.5713673830173137,0.514488476260648,0.5387432326631528,0.4424210917083303,0.4340731496426596,0.5517399717377195,0.5261856993793915,0.5753477367846584,0.4448419606789788,0.3701681262075788,0.504932530914951,0.4963128848315525,0.5651936716910254
MSFT,0.6638165047257735,1.0,0.6926070954423762,0.6587021518062024,0.5792327881197751,0.6162615021100356,0.4515537014181645,0.458382500275041,0.5285876122361952,0.5548240500136825,0.5643001281018494,0.47855855529573804,0.4971165155526197,0.6280177787357245,0.6383567765350179,0.6876057591319968
GOOGL,0.6087195949253489,0.6926070954423762,1.0,0.6375814770419898,0.6057719557890263,0.5445836754655512,0.4240917214900678,0.41221321086240253,0.48579445387124415,0.49594231487070806,0.517046601106007,0.45410875392155237,0.3894877280134036,0.5233044583784864,0.5109937633582061,0.5832618593953116
AMZN,0.5713673830173137,0.6587021518062024,0.6375814770419898,1.0,0.6021274181099386,0.5411705077315224,0.44242130307571903,0.38947987439113785,0.45883084297789073,0.4627652615465915,0.4722414164305894,0.4144046242328368,0.3524715249359939,0.5537808882570494,0.5524075810488438,0.5786121870518817
META,0.514488476260648,0.5792327881197751,0.6057719557890263,0.6021274181099386,1.0,0.49099211121525693,0.37894586586353135,0.3510756556525447,0.4042210808589098,0.43917977546643294,0.436919725991913,0.3997553997368336,0.32654046462005126,0.4834549198832824,0.42949024571916206,0.5116744303654682
NVDA,0.5387432326631528,0.6162615021100356,0.5445836754655512,0.5411705077315224,0.49099211121525693,1.0,0.6149578691686372,0.43470633763066546,0.5609439868913809,0.6132018488450788,0.5656640548156,0.582914835556288,0.4192334646658797,0.5042057619053412,0.5257293001131491,0.5418769351018445
AMD,0.4424210917083303,0.4515537014181645,0.4240917214900678,0.44242130307571903,0.37894586586353135,0.6149578691686372,1.0,0.368283584331948,0.4774387687455296,0.4709209118304017,0.5022845309402675,0.5061216681842688,0.3349435023189608,0.4010720801881674,0.4226009176749219,0.42564808530092657
INTC,0.4340731496426596,0.458382500275041,0.41221321086240253,0.38947987439113785,0.3510756556525447,0.43470633763066546,0.368283584331948,1.0,0.48467073750935596,0.4562278567811445,0.5700304591602374,0.5119603575592278,0.32801375776882097,0.35319932695637146,0.32664610465282595,0.38107411862320983
QCOM,0.5517399717377195,0.5285876122361952,0.48579445387124415,0.45883084297789073,0.4042210808589098,0.5609439868913809,0.4774387687455296,0.48467073750935596,1.0,0.586508459200563,0.6281442841166596,0.5523580849672413,0.35600775583616173,0.4430562313254354,0.4572713029629067,0.4947427805729883
AVGO,0.5261856993793915,0.5548240500136825,0.49594231487070806,0.4627652615465915,0.43917977546643294,0.6132018488450788,0.4709209118304017,0.4562278567811445,0.586508459200563,1.0,0.582972335879386,0.6000151607680424,0.4677945593651154,0.432900523484631,0.43777641426065855,0.4692015363345325
TXN,0.5753477367846584,0.5643001281018494,0.517046601106007,0.4722414164305894,0.436919725991913,0.5656640548156,0.5022845309402675,0.5700304591602374,0.6281442841166596,0.582972335879386,1.0,0.6064323685460925,0.3855371719541114,0.4639953032668264,0.46392549054214477,0.517809904172006
MU,0.4448419606789788,0.47855855529573804,0.45410875392155237,0.4144046242328368,0.3997553997368336,0.582914835556288,0.5061216681842688,0.5119603575592278,0.5523580849672413,0.6000151607680424,0.6064323685460925,1.0,0.37935031432089145,0.398682841465075,0.39744620143302023,0.4129785872142241
ORCL,0.3701681262075788,0.4971165155526197,0.3894877280134036,0.3524715249359939,0.32654046462005126,0.4192334646658797,0.3349435023189608,0.32801375776882097,0.35600775583616173,0.4677945593651154,0.3855371719541114,0.37935031432089145,1.0,0.383983499583472,0.38239582813045625,0.3925447242954829
CRM,0.504932530914951,0.6280177787357245,0.5233044583784864,0.5537808882570494,0.4834549198832824,0.5042057619053412,0.4010720801881674,0.35319932695637146,0.4430562313254354,0.432900523484631,0.4639953032668264,0.398682841465075,0.383983499583472,1.0,0.6962785603477115,0.6727933266972458
NOW,0.4963128848315525,0.6383567765350179,0.5109937633582061,0.5524075810488438,0.42949024571916206,0.5257293001131491,0.4226009176749219,0.32664610465282595,0.4572713029629067,0.43777641426065855,0.46392549054214477,0.39744620143302023,0.38239582813045625,0.6962785603477115,1.0,0.6597647798030054
ADBE,0.5651936716910254,0.6876057591319968,0.5832618593953116,0.5786121870518817,0.5116744303654682,0.5418769351018445,0.42564808530092657,0.38107411862320983,0.4947427805729883,0.4692015363345325,0.517809904172006,0.4129785872142241,0.3925447242954829,0.6727933266972458,0.6597647798030054,1.0
