a,b,corr,bucket
BHP,RIO,0.8981047489936397,commodities
NUE,STLD,0.8668485395240576,commodities
RIO,VALE,0.7657381928008746,commodities
BHP,VALE,0.7437168526275417,commodities
CF,MOS,0.7111242051625715,commodities
BHP,FCX,0.7068424357945651,commodities
FCX,RIO,0.700140225809567,commodities
APD,LIN,0.6648361089731942,commodities
HAL,SLB,0.8617627396452171,energy
COP,EOG,0.8432588452308417,energy
CVX,XOM,0.8309895612878839,energy
DVN,EOG,0.8272347451888261,energy
DVN,FANG,0.8237118425346897,energy
COP,DVN,0.8188127834864228,energy
EOG,FANG,0.8181679768463508,energy
COP,CVX,0.8097522975922892,energy
MA,V,0.8988602407586399,financials
BAC,JPM,0.8834374666803901,financials
PNC,TFC,0.8690938074809387,financials
GS,MS,0.8682053562341883,financials
BAC,C,0.8680248297372573,financials
TFC,USB,0.8668892116413603,financials
PNC,USB,0.8580950313932397,financials
C,JPM,0.8526305761944127,financials
CRM,NOW,0.6962785603477115,tech
GOOGL,MSFT,0.6926070954423762,tech
ADBE,MSFT,0.6876057591319968,tech
ADBE,CRM,0.6727933266972458,tech
AAPL,MSFT,0.6638165047257735,tech
ADBE,NOW,0.6597647798030054,tech
AMZN,MSFT,0.6587021518062024,tech
MSFT,NOW,0.6383567765350179,tech
